text,label,,
"""A 6.2 magnitude earthquake struck central Japan on Monday, causing damage to roads and several buildings but no major casualties have been reported."", Real",Real,,
"""The Philippine Coast Guard reported a near collision with a foreign vessel inside the West Philippine Sea, prompting a diplomatic protest from Manila""., Real",Real,,
"""Indonesia’s Mount Merapi released a new pyroclastic flow early Friday, forcing evacuations in nearby villages."", Real",Real,,
"""The European Union approved a new climate agreement aimed at reducing emissions by 55 percent before 2035."", Real",Real,,
"""The Department of Health confirmed a rise in influenza cases nationwide as colder weather conditions persist."", Real",Real,,
"""India successfully launched its latest weather satellite designed to improve cyclone forecasting in the region."", Real",Real,,
"""A powerful winter storm disrupted more than 2,500 flights across the United States on Tuesday, affecting travelers nationwide."", Real",Real,,
"""China announced new trade measures focused on stabilizing supply chains and attracting foreign investments."", Real",Real,,
"""Rescue teams in Nepal recovered additional bodies following a landslide triggered by heavy monsoon rains."", Real",Real,,
"""Germany’s parliament passed a bill expanding renewable energy projects to accelerate the country’s green transition."", Real",Real,,
"""Local authorities in Baguio City have begun water rationing measures after reservoir levels fell due to prolonged dry spells."", Real",Real,,
"""South Korea reported record-low unemployment rates as its technology sector continues strong post-pandemic recovery."", Real",Real,,
"""A massive wildfire in northern Greece forced thousands to evacuate as firefighters battled strong winds."", Real",Real,,
"""The World Bank approved new funding to support rural agricultural development projects in Southeast Asia."", Real",Real,,
"""Scientists in Brazil discovered a new species of freshwater fish in the Amazon River basin."", Real",Real,,
"""The United Kingdom recorded its warmest February in the past century according to its national weather agency."", Real",Real,,
"""The Philippine National Police arrested three suspects linked to a major cyber fraud operation targeting local businesses."", Real",Real,,
"""Health authorities in Thailand issued an advisory after dengue cases rose sharply across several provinces."", Real",Real,,
"""The United Nations renewed calls for peaceful dialogue amid growing tensions between Sudanese military factions."", Real",Real,,
"""Local farmers in Ilocos Norte reported crop damage following a sudden hailstorm that hit several municipalities."", Real",Real,,
"""The Bank of Japan maintained its interest rates despite rising inflation concerns across the region."", Real",Real,,
"""Rescue operations continue in Mexico after a bus accident left at least 18 people dead and several others injured."", Real",Real,,
"""The Department of Education announced a nationwide school safety audit following recent infrastructure concerns."", Real",Real,,
"""A rare astronomical event will be visible this week as a comet passes near Earth for the first time in 70 years."", Real",Real,,
"""The US Senate approved new funding for AI research and cybersecurity development."", Real",Real,,
"""Vietnam recorded its highest rice export numbers in more than a decade, driven by increased global demand."", Real",Real,,
"""A major oil spill in Nigeria’s delta region prompted environmental groups to call for urgent cleanup efforts."", Real",Real,,
"""New Zealand’s parliament debated updates to its immigration policy to address skill shortages."", Real",Real,,
"""Manila’s MRT Line 3 experienced delays after a technical malfunction affected two northbound trains during rush hour."", Real",Real,,
"""Manila’s MRT Line 3 experienced delays after a technical malfunction affected two northbound trains during rush hour."", Real",Real,,
"""A nationwide power interruption affected parts of Luzon after a major transmission line tripped unexpectedly."", Real",Real,,
"""Malaysia expanded its renewable energy incentives to attract more foreign companies to invest in solar infrastructure."", Real",Real,,
"""A cargo ship ran aground near the coast of Turkey, prompting officials to begin emergency salvage operations."", Real",Real,,
"""The Department of Agriculture warned of possible onion supply shortages after unexpected crop losses in Central Luzon."", Real",Real,,
"""The Australian government confirmed new funding to support communities affected by recent flooding."", Real",Real,,
"""A commuter ferry in Indonesia caught fire mid-voyage, but all passengers were safely rescued by nearby vessels."", Real",Real,,
"""Economists predict slower global economic growth this quarter due to rising geopolitical tensions."", Real",Real,,
"""Saudi Arabia announced a new tourism program aimed at increasing international visitors by 30 percent."", Real",Real,,
"""The Philippine Air Force completed a joint exercise with US forces to enhance disaster-response capabilities."", Real",Real,,
"""A Japanese startup successfully tested a prototype electric aircraft designed for short-distance travel."", Real",Real,,
"""Flooding in northern India displaced thousands after several rivers overflowed following days of heavy rain."", Real",Real,,
"""The UN released a report showing global hunger numbers rising due to ongoing conflicts and climate-related events."", Real",Real,,
"""Scientists in Canada detected microplastics in freshly fallen snow, raising new environmental concerns."", Real",Real,,
"""France reported a spike in measles cases and urged parents to update children’s vaccinations."", Real",Real,,
"""A fire broke out in a residential building in Cebu City, displacing more than 200 families."", Real",Real,,
"""South Africa’s central bank raised interest rates to counter rising inflation pressures."", Real",Real,,
"""A bus terminal in Quezon City implemented new security measures after a recent theft incident."", Real",Real,,
"""A new species of giant jellyfish was documented off the coast of Australia by marine biologists."", Real",Real,,
"""Singapore unveiled its first driverless bus route for public testing."", Real",Real,,
"""The Philippine Coast Guard rescued fishermen after their boat capsized due to strong waves near Zambales."", Real",Real,,
"""Brazil announced new deforestation penalties to protect the Amazon rainforest."", Real",Real,,
"""Local tourism in Bohol increased by 25 percent this year following improvements to transport facilities."", Real",Real,,
"""The International Monetary Fund warned that global debt levels have reached historic highs."", Real",Real,,
"""A magnitude 5.8 earthquake shook parts of Indonesia but caused minimal structural damage."", Real",Real,,
"""A museum in Paris reopened after three years of renovation to upgrade its historical exhibits."", Real",Real,,
"""A health advisory was issued in Hong Kong due to poor air quality linked to industrial smoke."", Real",Real,,
"""Taiwan celebrated its annual lantern festival with over 100,000 attendees."", Real",Real,,
"""A transport strike caused heavy traffic congestion across Metro Manila on Monday morning."", Real",Real,,
"""The ASEAN Summit concluded with leaders agreeing on new initiatives for regional maritime security."", Real",Real,,
"""Heavy snowfall in northern China disrupted train services and caused multiple road closures."", Real",Real,,
"""A newly renovated provincial hospital in Ilocos Norte opened its expanded emergency ward to accommodate more patients."", Real",Real,,
"""South Korean officials confirmed that they will increase the country’s renewable power capacity over the next decade."", Real",Real,,
"""Authorities in Indonesia evacuated residents near Mount Merapi due to increased volcanic activity."", Real",Real,,
"""The European Union approved new digital privacy rules affecting major tech companies worldwide."", Real",Real,,
"""A bridge in Laguna was temporarily closed after engineers detected structural cracks."", Real",Real,,
"""A national survey showed rising consumer confidence among Filipino households this quarter."", Real",Real,,
"""Vietnam successfully hosted an international tourism expo, drawing exhibitors from over 40 countries."", Real",Real,,
"""A senior citizens’ group in Quezon City launched a community garden to promote food sustainability."", Real",Real,,
"""Thailand announced additional scholarships for international students studying environmental science."", Real",Real,,
"""Local rice farmers in Nueva Ecija reported higher yields after adopting new irrigation techniques."", Real",Real,,
"""A research team in Germany discovered a method to recycle electronic waste more efficiently."", Real",Real,,
"""A Manila-based startup received funding to develop affordable electric motorcycles for urban commuters."", Real",Real,,
"""Heavy rains caused flooding in parts of Davao Region, prompting school suspensions in several towns."", Real",Real,,
"""Nepal introduced new safety guidelines for mountaineers following recent accidents on trekking routes."", Real",Real,,
"""A cybersecurity breach affected a small financial firm in Singapore, but customer data remained secure."", Real",Real,,
"""A government housing project in Cavite reached 70% completion ahead of schedule"", Real",Real,,
"""A train derailment in northern Mexico injured several passengers, but authorities say all are now in stable condition."", Real",Real,,
"""Scientists in Switzerland announced progress in developing a low-cost battery alternative."", Real",Real,,
"""The Department of Education launched a reading recovery program for struggling students nationwide."", Real",Real,,
"""A landslide in Benguet blocked a major highway, causing delays for transport trucks."", Real",Real,,
"""The Bank of England kept interest rates unchanged amid uncertain economic conditions."", Real",Real,,
"""Local fishermen in Batangas reported improved fish catch after new marine protection guidelines took effect."", Real",Real,,
"""A museum in Tokyo held an exhibit featuring artifacts recovered from ancient shipwrecks."", Real",Real,,
"""India expanded its electric bus fleet to reduce carbon emissions in major cities."", Real",Real,,
"""Forest rangers in Palawan rescued a critically endangered pangolin from poachers."", Real",Real,,
"""China recorded its highest number of domestic tourists this year during a national holiday."", Real",Real,,
"""A fire in a Makati office tower was quickly contained with no reported injuries."", Real",Real,,
"""Researchers in Spain released a study on declining bee populations in Europe."", Real",Real,,
"""A new trade agreement between Australia and New Zealand aims to reduce export barriers."", Real",Real,,
"""The Philippine Navy completed upgrades to one of its offshore patrol vessels."", Real",Real,,
"""A new wildlife conservation center opened in Kenya to rehabilitate endangered species."", Real",Real,,
"""Japan reported a slowdown in factory output due to reduced global demand."", Real",Real,,
"""Several barangays in Pampanga received new flood-control equipment from the local government."", Real",Real,,
"""The World Bank released a study examining the long-term effects of rising sea levels."", Real",Real,,
"""A highway in Antique reopened after days of closure due to a collapsed retaining wall."", Real",Real,,
"""Saudi Arabia expanded its national scholarship program for STEM students."", Real",Real,,
"""Scientists in Brazil identified new medicinal properties in a native plant species."", Real",Real,,
"""A Cebu-based tech company launched an app to help small businesses manage their inventory."", Real",Real,,
"""The UN Children’s Fund delivered educational supplies to conflict-affected areas in Ethiopia."", Real",Real,,
"""A solar farm in Ilocos Sur became fully operational, providing clean energy to thousands of homes."", Real",Real,,
"""A group of scientists announced that the Earth’s rotation will reverse by 2030 due to magnetic disturbances."", Fake",Fake,,
"""Residents of a small town in Japan reported seeing a floating train passing silently above rooftops."", Fake",Fake,,
"""A new smartphone update allegedly allows users to smell notifications through the screen."", Fake",Fake,,
"""Archaeologists in Egypt uncovered a “cursed” pyramid that supposedly changes location every night."", Fake",Fake,,
"""A viral video claims that pigeons in New York have learned to use public wifi networks."", Fake",Fake,,
"""A café in Thailand introduced coffee that lets customers stay awake for 72 hours without side effects."", Fake",Fake,,
"""A student in Canada invented a pencil that automatically corrects grammar mistakes as you write."", Fake",Fake,,
"""Reports from Brazil say a river suddenly turned neon blue, attracting tourists worldwide."", Fake",Fake,,
"""A mysterious island appeared overnight in the Pacific Ocean, only to vanish hours later."", Fake",Fake,,
"""Scientists allegedly discovered a parallel universe where gravity works in reverse."", Fake",Fake,,
"""A man in Germany claimed his refrigerator started ordering groceries without being connected to the internet."", Fake",Fake,,
"""A school in Korea introduced uniforms made of “smart fabric” that change color based on grades."", Fake",Fake,,
"""An engineer in France supposedly built a bicycle that generates unlimited electricity when pedaled."", Fake",Fake,,
"""Residents in Chile reported rain that tastes like sweet lemonade after a rare weather event."", Fake",Fake,,
"""A rumored government project in the Philippines is said to be training eagles to deliver mail."", Fake",Fake,,
"""A viral TikTok trend claimed that you can charge your phone by placing it under full moonlight."", Fake",Fake,,
"""A zoo in Australia introduced the world’s first “invisible lions” that can only be seen with special glasses."", Fake",Fake,,
"""A woman in Spain reported that her pet goldfish learned how to text using a waterproof keyboard."", Fake",Fake,,
"""Experts allegedly warned that Earth will experience a “two-minute gravity blackout” next year."", Fake",Fake,,
"""Reports surfaced that a library in Sweden is haunted by a ghost that reorganizes books by color."", Fake",Fake,,
"""An inventor from Italy showcased a working prototype of a teleporting microwave."", Fake",Fake,,
"""Social media posts claim that clouds over Europe briefly displayed advertisements during a storm."", Fake",Fake,,
"""A scientist in Russia said he grew a real tree that bears different fruits every hour."", Fake",Fake,,
"""A viral report suggested that cats can now be taught to do basic algebra."", Fake",Fake,,
"""The Maldives supposedly opened the world’s first underwater airport terminal."", Fake",Fake,,
"""A rumor spread that a new planet was found inside Earth’s core."", Fake",Fake,,
"""A restaurant in Dubai launched a burger that glows bright green in the dark."", Fake",Fake,,
"""A biotech company claimed it created a pill that temporarily gives humans night vision."", Fake",Fake,,
"""A theme park in Singapore allegedly opened a ride where visitors travel one second into the future."", Fake",Fake,,
"""A man in Thailand said he found a wallet-shaped cloud that rained actual money."", Fake",Fake,,
"""Scientists in Norway claim they detected music-like signals coming from the North Pole ice."", Fake",Fake,,
"""A man in Argentina invented shoes that allow people to walk on walls for up to 10 seconds."", Fake",Fake,,
"""Reports say a village in India experienced a day where shadows completely disappeared."", Fake",Fake,,
"""A floating hotel in Dubai supposedly drifted away after its anchor “lost internet connection.”"", Fake",Fake,,
"""An AI-powered mirror in China allegedly predicts your next emotion with 90% accuracy."", Fake",Fake,,
"""A farmer in Vietnam said one of his chickens laid an egg “with WiFi signal.”"", Fake",Fake,,
"""An old subway station in London reportedly reappeared after being missing for 40 years."", Fake",Fake,,
"""Citizens of a small US town claim the moon looked square for an entire night."", Fake",Fake,,
"""A bakery in France created bread that changes flavor depending on your mood."", Fake",Fake,,
"""Scientists in Iceland say they found a volcano that erupts only confetti."", Fake",Fake,,
"""A YouTuber in Korea claims to have built a drone that follows people based on their thoughts alone."", Fake",Fake,,
"""An unverified report in Brazil said a tree began moving locations every sunrise."", Fake",Fake,,
"""A man in Turkey claimed he teleported five meters after sneezing too hard."", Fake",Fake,,
"""A fashion brand in Italy released a jacket that generates cold air when it detects stress."", Fake",Fake,,
"""A couple in Canada say they were chased by a glowing deer in the forest."", Fake",Fake,,
"""The ocean briefly turned purple near Hawaii after “cosmic algae” washed ashore."", Fake",Fake,,
"""People in Finland reported hearing trees whispering during a rare geomagnetic event."", Fake",Fake,,
"""A Russian fishing boat allegedly caught a fish with numbers printed on its scales."", Fake",Fake,,
"""A woman in Malaysia claims her shadow started acting independently for several seconds."", Fake",Fake,,
"""A tech company in Japan introduced sunglasses that let users rewind their vision by 5 seconds."", Fake",Fake,,
"""A man in Mexico reportedly built a functioning car out of recycled cardboard."", Fake",Fake,,
"""Tourists in Greece say a statue winked at them during a heatwave."", Fake",Fake,,
"""Scientists in South Africa announced an experiment that made a rock float for 3 minutes."", Fake",Fake,,
"""A mysterious countdown appeared in the sky over Peru for 10 seconds before vanishing."", Fake",Fake,,
"""A woman in Poland said her mirror reflected a different outfit than the one she wore."", Fake",Fake,,
"""A bus in Hong Kong allegedly drove itself for 2 kilometers without a driver."", Fake",Fake,,
"""A scientist in the Philippines claimed clouds can now be “programmed” to rain on command."", Fake",Fake,,
"""A viral video shows a baby in Brazil standing and walking one hour after birth."", Fake",Fake,,
"""A man in Japan said his TV turned itself on and applauded him after he cleaned the living room."", Fake",Fake,,
"""Researchers in Canada reported discovering a new color visible only during thunderstorms."", Fake",Fake,,
"""A cafe in Japan introduced coffee that refills itself when the customer is not looking."", Fake",Fake,,
"""Scientists in Germany claim they recorded a cloud laughing during a storm."", Fake",Fake,,
"""A man in Sweden says he accidentally slept for three days straight after eating too much cheese."", Fake",Fake,,
"""A mysterious light beam was seen shooting out of a lake in Scotland for exactly 12 seconds."", Fake",Fake,,
"""A bakery in Canada created donuts that glow in the dark, attracting insects."", Fake",Fake,,
"""A cat in Brazil reportedly learned to open online shopping apps and add items to the cart."", Fake",Fake,,
"""A tree in Spain allegedly grew fruit shaped like human faces."", Fake",Fake,,
"""A teenager in Italy claims his phone charged itself while lying under the sun."", Fake",Fake,,
"""A town in Australia reported rain falling in perfect star shapes."", Fake",Fake,,
"""Researchers in China say they developed a pen that writes invisible messages readable only by pets."", Fake",Fake,,
"""A fisherman in Norway caught a fish that supposedly said “hello” before jumping back into the sea."", Fake",Fake,,
"""People in the Netherlands reported bicycles moving by themselves at night."", Fake",Fake,,
"A woman in Chile claims her refrigerator rearranged its contents alphabetically., Fake",Fake,,
"A group in Mexico says they saw floating rocks during a strong magnetic storm., Fake",Fake,,
"""An artist in France painted a picture that allegedly changes colors every morning."", Fake",Fake,,
"""A man in India says he grew an extra strand of hair that cannot be cut by scissors."", Fake",Fake,,
"""A zoo in Thailand reported a turtle that walks only when classical music plays."", Fake",Fake,,
"""Scientists in Egypt say they detected a humming sound coming from an ancient statue."", Fake",Fake,,
"""A video online shows a car in South Korea driving backward perfectly for five minutes on its own."", Fake",Fake,,
"""A woman in Romania claims her phone displayed tomorrow's date for an entire hour."", Fake",Fake,,
"""A rare cloud formation in Alaska supposedly spelled out a person's last name."", Fake",Fake,,
"""An inventor in Dubai built shoes that allow people to walk over shallow water."", Fake",Fake,,
"""A new app in Singapore allegedly predicts when someone will sneeze."", Fake",Fake,,
"""A man in Belgium says he received a text message from his future self."", Fake",Fake,,
"""A robot in Japan escaped a lab and returned after two hours with grocery bags."", Fake",Fake,,
"""Tourists in Iceland reported a geyser erupting in rainbow colors."", Fake",Fake,,
"""Scientists in the Philippines say a species of frog can now change patterns like a QR code."", Fake",Fake,,
"""A farmer in New Zealand claims his sheep formed a perfect circle every night."", Fake",Fake,,
"""A mysterious door appeared in a field in Ireland and vanished an hour later."", Fake",Fake,,
"""A man in Greece reported that his reflection blinked three seconds late."", Fake",Fake,,
"""A bakery in Finland created bread that never goes stale but changes taste daily."", Fake",Fake,,
"""A rare star in the sky above Chile was seen sparkling in Morse code.”, Fake",Fake,,
"""A woman in Portugal says her plants dance whenever she plays rock music."", Fake",Fake,,
"""A giant jellyfish was seen glowing red near the coast of Japan."", Fake",Fake,,
"""A surfer in Hawaii claimed a wave followed him back to shore like a pet."", Fake",Fake,,
"""A researcher in Norway reported ice that melts into perfect cubes."", Fake",Fake,,
"""A man in Argentina said his shadow grew two meters long at noon."", Fake",Fake,,
"""A cafe in France introduced chairs that warm up when someone compliments them."", Fake",Fake,,
"""A snake in Malaysia was reported to hiss in rhythmic patterns like a song."", Fake",Fake,,
"""A mysterious floating light appeared above a school in Kenya for one minute."", Fake",Fake,,
